Sample node	name	mFR	yYe	PlantID_longFormat_refVersion
0	mFR	0.773730163	0.226269837	10x2-15_Am_Pla_pb1253_v3.5
1	mFR	0.767041185	0.232958815	10x2-15_Am_Pla_pb1253_v3.5
2	mFR	0.742133053	0.257866947	10xNEW-Plate9-13_Am_Pla_pb1000_v3.5
3	mFR	0.814355178	0.185644822	10xNEW-Plate9-13_Am_Pla_pb1000_v3.5
4	mFR	0.834793468	0.165206532	10xNEW-Plate9-18_Am_Pla_pb1046_v3.5
5	mFR	0.721859797	0.278140203	10xNEW-Plate9-18_Am_Pla_pb1046_v3.5
6	mFR	0.738121837	0.261878163	10xNEW-Plate9-19_Am_Pla_pb1047_v3.5
7	mFR	0.857017642	0.142982358	10xNEW-Plate9-19_Am_Pla_pb1047_v3.5
8	mFR	0.921838937	0.078161063	10xNEW-Plate9-21_Am_Pla_pb1053_v3.5
9	mFR	0.798268323	0.201731677	10xNEW-Plate9-21_Am_Pla_pb1053_v3.5
10	mFR	0.721573147	0.278426853	10xNEW-Plate9-22_Am_Pla_pb1060_v3.5
11	mFR	0.724172592	0.275827408	10xNEW-Plate9-22_Am_Pla_pb1060_v3.5
12	mFR	0.723809046	0.276190954	10xNEW-Plate9-29_Am_Pla_pb1469_v3.5
13	mFR	0.80051031	0.19948969	10xNEW-Plate9-29_Am_Pla_pb1469_v3.5
14	mFR	0.711268055	0.288731945	10xNEW-Plate9-30_Am_Pla_pb1470_v3.5
15	mFR	0.669101614	0.330898386	10xNEW-Plate9-30_Am_Pla_pb1470_v3.5
16	mFR	0.814606867	0.185393133	10xNEW-Plate9-31_Am_Pla_pb1512_v3.5
17	mFR	0.870388568	0.129611432	10xNEW-Plate9-31_Am_Pla_pb1512_v3.5
18	mFR	0.900184633	0.099815367	10xNEW-Plate9-32_Am_Pla_pb1522_v3.5
19	mFR	0.832882137	0.167117863	10xNEW-Plate9-32_Am_Pla_pb1522_v3.5
20	mFR	0.876404301	0.123595699	10xNEW-Plate9-33_Am_Pla_pb1561_v3.5
21	mFR	0.824345295	0.175654705	10xNEW-Plate9-33_Am_Pla_pb1561_v3.5
22	mFR	0.832844348	0.167155652	10xNEW-Plate9-34_Am_Pla_pb1569_v3.5
23	mFR	0.823587295	0.176412705	10xNEW-Plate9-34_Am_Pla_pb1569_v3.5
24	mFR	0.908525582	0.091474418	10xNEW-Plate9-35_Am_Pla_pb1591_v3.5
25	mFR	0.758131062	0.241868938	10xNEW-Plate9-35_Am_Pla_pb1591_v3.5
26	mFR	0.890725831	0.109274169	10xNEW-Plate9-36_Am_Pla_pb1602_v3.5
27	mFR	0.907297834	0.092702166	10xNEW-Plate9-36_Am_Pla_pb1602_v3.5
28	mFR	0.805002445	0.194997555	10xNEW-Plate9-37_Am_Pla_pb1606_v3.5
29	mFR	0.798797472	0.201202528	10xNEW-Plate9-37_Am_Pla_pb1606_v3.5
30	mFR	0.870568267	0.129431733	10xNEW-Plate9-50_Am_Pla_pb2943_v3.5
31	mFR	0.658816372	0.341183628	10xNEW-Plate9-50_Am_Pla_pb2943_v3.5
32	mFR	0.794311186	0.205688814	10xNEW-Plate9-51_Am_Pla_pb2944_v3.5
33	mFR	0.569225709	0.430774291	10xNEW-Plate9-51_Am_Pla_pb2944_v3.5
34	mFR	0.787465198	0.212534802	10xNEW-Plate9-52_Am_Pla_pb2945_v3.5
35	mFR	0.818245984	0.181754016	10xNEW-Plate9-52_Am_Pla_pb2945_v3.5
36	mFR	0.746519076	0.253480924	10xNEW-Plate9-53_Am_Pla_pb2946_v3.5
37	mFR	0.803263409	0.196736591	10xNEW-Plate9-53_Am_Pla_pb2946_v3.5
38	mFR	0.897948841	0.102051159	10xNEW-Plate9-54_Am_Pla_pb2948_v3.5
39	mFR	0.844922552	0.155077448	10xNEW-Plate9-54_Am_Pla_pb2948_v3.5
40	mFR	0.812366962	0.187633038	2x-N709-44_Am_Pla_pb0934_v3.5
41	mFR	0.772616835	0.227383165	2x-N709-44_Am_Pla_pb0934_v3.5
42	mFR	0.762013843	0.237986157	60x2-Plate9-17_Am_Pla_pb1042_v3.5
43	mFR	0.666487743	0.333512257	60x2-Plate9-17_Am_Pla_pb1042_v3.5
44	yYe	0.332122657	0.667877343	10x2-17_Am_Pla_pb2190_v3.5
45	yYe	0.143391814	0.856608186	10x2-17_Am_Pla_pb2190_v3.5
46	yYe	0.078220415	0.921779585	10xNEW-Plate10-4_Am_Pla_pb0883_v3.5
47	yYe	0.217748383	0.782251617	10xNEW-Plate10-4_Am_Pla_pb0883_v3.5
48	yYe	0.18459955	0.81540045	10xNEW-Plate10-5_Am_Pla_pb0888_v3.5
49	yYe	0.2432727	0.7567273	10xNEW-Plate10-5_Am_Pla_pb0888_v3.5
50	yYe	0.123955281	0.876044719	10xNEW-Plate10-6_Am_Pla_pb0893_v3.5
51	yYe	0.166627851	0.833372149	10xNEW-Plate10-6_Am_Pla_pb0893_v3.5
52	yYe	0.097229874	0.902770126	10xNEW-Plate10-12_Am_Pla_pb1085_v3.5
53	yYe	0.115752639	0.884247361	10xNEW-Plate10-12_Am_Pla_pb1085_v3.5
54	yYe	0.117354871	0.882645129	10xNEW-Plate10-13_Am_Pla_pb1088_v3.5
55	yYe	0.14962779	0.85037221	10xNEW-Plate10-13_Am_Pla_pb1088_v3.5
56	yYe	0.094220111	0.905779889	10xNEW-Plate10-14_Am_Pla_pb1092_v3.5
57	yYe	0.126595987	0.873404013	10xNEW-Plate10-14_Am_Pla_pb1092_v3.5
58	yYe	0.265880366	0.734119634	10xNEW-Plate10-15_Am_Pla_pb1093_v3.5
59	yYe	0.192703798	0.807296202	10xNEW-Plate10-15_Am_Pla_pb1093_v3.5
60	yYe	0.056328253	0.943671747	10xNEW-Plate10-42_Am_Pla_pb2182_v3.5
61	yYe	0.169895325	0.830104675	10xNEW-Plate10-42_Am_Pla_pb2182_v3.5
62	yYe	0.352818756	0.647181244	10xNEW-Plate10-45_Am_Pla_pb2194_v3.5
63	yYe	0.183837084	0.816162916	10xNEW-Plate10-45_Am_Pla_pb2194_v3.5
64	yYe	0.11046437	0.88953563	10xNEW-Plate10-46_Am_Pla_pb2197_v3.5
65	yYe	0.146482818	0.853517182	10xNEW-Plate10-46_Am_Pla_pb2197_v3.5
66	yYe	0.169879256	0.830120744	10xNEW-Plate10-49_Am_Pla_pb2303_v3.5
67	yYe	0.098822554	0.901177446	10xNEW-Plate10-49_Am_Pla_pb2303_v3.5
68	yYe	0.099062796	0.900937204	10xNEW-Plate10-51_Am_Pla_pb2311_v3.5
69	yYe	0.159860888	0.840139112	10xNEW-Plate10-51_Am_Pla_pb2311_v3.5
70	yYe	0.551074368	0.448925632	10xNEW-Plate10-53_Am_Pla_pb2313_v3.5
71	yYe	0.385853572	0.614146428	10xNEW-Plate10-53_Am_Pla_pb2313_v3.5
72	yYe	0.138032368	0.861967632	10xNEW-Plate10-55_Am_Pla_pb2318_v3.5
73	yYe	0.097516892	0.902483108	10xNEW-Plate10-55_Am_Pla_pb2318_v3.5
74	yYe	0.181825709	0.818174291	10xNEW-Plate10-56_Am_Pla_pb2319_v3.5
75	yYe	0.249014143	0.750985857	10xNEW-Plate10-56_Am_Pla_pb2319_v3.5
76	yYe	0.239295883	0.760704117	10xNEW-Plate10-85_Am_Pla_pb3675_v3.5
77	yYe	0.245069791	0.754930209	10xNEW-Plate10-85_Am_Pla_pb3675_v3.5
78	yYe	0.406142016	0.593857984	10xNEW-Plate10-86_Am_Pla_pb3677_v3.5
79	yYe	0.416736752	0.583263248	10xNEW-Plate10-86_Am_Pla_pb3677_v3.5
80	yYe	0.160332408	0.839667592	10xNEW-Plate10-89_Am_Pla_pb4144_v3.5
81	yYe	0.188853696	0.811146304	10xNEW-Plate10-89_Am_Pla_pb4144_v3.5
82	yYe	0.127513085	0.872486915	60x2-Plate10-7_Am_Pla_pb0898_v3.5
83	yYe	0.171082373	0.828917627	60x2-Plate10-7_Am_Pla_pb0898_v3.5
