ID.generic,Source,Latitude,Longitude,Altitude,Plant.ID,Confirm.Plant.ID,match,Plant.ID_cap,GPS.horz.corr..m.,GPS.alt.corr..m.,Direction.from.GPS,Plant.status,Num.flower.stems,Num.vegetative.stems,Estim.Flower.No,Tallest.stem.height,Leaves.to.1st.flower,First.flowered,Perennial,Cut.stems,Total.flowers,Total.Fuit,Num.aborted.flowers,Comment,veg.flowering,Accessibility,date.of.measurement,X,X.1,Date,Time,X.2,No.Replicates,Flag,AvgLat,AvgLong,AvgAlt,Notes
7166,Crusher,42.33018688,2.050754825,1531.492,49,49,1,49,2,2,North,Dead,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,07.06.21,3,Uncorrected,07.06.21,10:36:47am,0,1,0,42.33018688,2.050754825,1531.492,
4865,Crusher,42.32634377,2.04992808,1366.593,1931,1921,0,1931,4,4,West,Alive,1,0,1,75,12,< 1 week,yes,0,0,0,0,,flower,roadside,06/21/21,5,Uncorrected,06/21/21,01:48:01pm,0,1,1,42.32634377,2.04992808,1366.593,matching error
4558,Crusher,42.32287236,2.086278427,1190.159,j171,j171,1,J171,0,0,,Dead,0,0,0,0,0,,no,0,0,0,0,nailed to the rocks - is it really a snapdragon,flower,roadside,06/19/21,3.1,Uncorrected,06/19/21,08:57:03am,NA,1,0,42.32287236,2.086278427,1190.159,
69,Picard,42.32334716,2.076847274,1189.658,K1222,K1222,1,K1222,1.5,1.5,North,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,05/15/21,15.7,Uncorrected,05/15/21,11:40:02am,0,1,0,42.32334716,2.076847274,1189.658,
2720,Crusher,NA,NA,NA,k1408,k1408,1,K1408,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.04.21,0,Unknown Correction,06.04.21,11:26:45am,,1,0,NA,NA,NA,
3205,Crusher,42.31732752,2.114509056,1197.985,k277,k277,1,K277,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.08.21,7.6,Uncorrected,06.08.21,05:12:49pm,0,1,0,42.31732752,2.114509056,1197.985,
2970,Carol,42.32907416,2.062046744,1467.029,L1135,L1135,1,L1135,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.08.21,3,Uncorrected,06.08.21,11:35:03am,0,1,0,42.32907416,2.062046744,1467.029,
4551,Picard,NA,NA,NA,l1206,l1206,1,L1206,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06/18/21,3.5,Unknown Correction,06/18/21,05:52:58pm,,1,0,NA,NA,NA,
194,Picard,42.32285788,2.075228489,1196.228,L198,L198,1,L198,2,3,North,Dead,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,05/16/21,5.4,Uncorrected,05/16/21,01:28:21pm,0,1,0,42.32285788,2.075228489,1196.228,
174,Picard,42.32278527,2.075407201,1199.121,L211,L211,1,L211,1.5,2,North,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,05/16/21,11.4,Uncorrected,05/16/21,10:47:02am,0,1,0,42.32278527,2.075407201,1199.121,
3964,Carol,42.33183832,2.074467238,1423.843,l676,l676,1,L676,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06/15/21,4.5,Uncorrected,06/15/21,11:06:23am,0,1,0,42.33183832,2.074467238,1423.843,
3164,Crusher,42.32904917,2.062032827,1467.888,l894,l894,1,L894,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.08.21,6.3,Uncorrected,06.08.21,11:46:45am,0,1,0,42.32904917,2.062032827,1467.888,
3131,Crusher,42.32904554,2.062014079,1469.596,l896,l896,1,L896,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.08.21,5.7,Uncorrected,06.08.21,11:29:08am,0,1,0,42.32904554,2.062014079,1469.596,
2415,Crusher,42.33109641,2.074272018,1431.264,m0488,m0488,1,M0488,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,5/31/2019,27.4,Uncorrected,05/31/21,09:52:52am,0,1,0,42.33109641,2.074272018,1431.264,
2395,Crusher,42.33151353,2.063460921,1477.597,m0648,m0648,1,M0648,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,5/31/2019,2.1,Uncorrected,05/31/21,08:03:10am,0,1,0,42.33151353,2.063460921,1477.597,
2641,Carol,42.32544999,2.052075081,1283.959,m1014,m1014,1,M1014,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,06.04.21,2.2,Uncorrected,06.04.21,08:01:54am,0,1,0,42.32544999,2.052075081,1283.959,
8949,Picard,42.3264208,2.085759323,1334.872,m1388,m1388,1,M1388,0,0,,Label only,0,0,0,0,0,,no,0,0,0,0,,flower,roadside,07/26/21,4.5,Uncorrected,07/26/21,07:41:24am,0,1,0,42.3264208,2.085759323,1334.872,
