PlantID	Group	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_bin
PB1196	10x2	19.4842	162.7217	35.9	41.9262	197	High
PB1008	10x2	25.3445	309.4169	36	42.1521	190	High
PB1253	10x2	19.7656	269.1718	36.16	41.4098	194	High
PB1682	10x2	17.5059	225.9873	36.02	41.2437	188	High
PB2190	10x2	20.2573	150.8933	35.78	41.7852	191	High
PB1687	10x2	21.1414	179.254	35.87	41.6935	187	High
PB0952	10xNEW	12.1147	143.3756	36.07	41.4272	191	High
PB0960	10xNEW	10.3616	149.1656	36	41.0276	185	High
PB1085	10xNEW	9.6727	125.0647	36.06	41.2286	189	High
PB1088	10xNEW	9.5694	86.418	35.88	41.1194	197	High
PB1092	10xNEW	10.6402	158.1169	36.12	41.0782	189	High
PB1093	10xNEW	11.3666	111.0062	35.97	41.4105	190	High
PB1164	10xNEW	10.8526	92.3066	35.73	41.4133	188	High
PB1166	10xNEW	10.3425	99.2738	35.94	41.2917	189	High
PB1172	10xNEW	6.3294	58.8818	35.8	41.3904	182	High
PB1179	10xNEW	8.854	103.4294	35.92	41.1024	190	High
PA1499	10xNEW	7.6448	93.0818	36.13	40.9936	188	High
PB1654	10xNEW	11.3753	135.8043	36.01	41.2632	189	High
PB1656	10xNEW	10.7443	105.7175	35.81	41.3554	184	High
PB1658	10xNEW	9.8174	97.724	35.83	41.0862	191	High
PB1662	10xNEW	8.792	111.3203	35.98	40.975	187	High
PB1664	10xNEW	13.7482	132.6582	35.83	41.6644	186	High
PB1665	10xNEW	10.3385	138.0729	36.05	41.1795	187	High
PB1672	10xNEW	6.637	80.2562	35.96	40.7855	178	High
PB1677	10xNEW	11.3502	164.2696	36.07	40.9716	187	High
PB1681	10xNEW	8.2595	91.3944	36	41.1262	184	High
PB0875	10xNEW	6.9909	81.473	35.92	40.8277	191	High
PB1684	10xNEW	9.637	118.8867	35.99	41.0929	190	High
PB1686	10xNEW	10.5597	82.6879	35.69	41.5107	191	High
PB1691	10xNEW	8.2388	90.2623	36.04	41.0051	188	High
PB1692	10xNEW	10.1697	100.7307	35.88	41.1763	190	High
PB1693	10xNEW	9.8602	143.0387	36.15	41.0927	188	High
PB1694	10xNEW	8.2236	86.6316	35.89	41.0562	191	High
PB1695	10xNEW	9.8405	86.1546	35.84	41.3839	192	High
PB1697	10xNEW	4.2358	22.8535	35.51	40.9618	191	Low
PB1699	10xNEW	9.4119	75.5723	35.82	41.2736	191	High
PB0876	10xNEW	13.2356	148.1353	36.07	41.3947	189	High
PB1700	10xNEW	10.1609	85.6669	35.85	41.3032	192	High
PB1915	10xNEW	10.6995	152.9083	36.06	41.2254	191	High
PB2182	10xNEW	12.3888	119.6281	35.85	41.6223	189	High
PB2191	10xNEW	11.3928	129.5752	35.96	41.2787	192	High
PB2194	10xNEW	11.3953	194.9534	36.28	40.9482	188	High
PB2197	10xNEW	10.5647	135.4479	36	41.1908	190	High
PB2198	10xNEW	9.2163	50.8308	35.71	41.5252	193	High
PB2295	10xNEW	13.6538	135.8736	35.86	41.5333	188	High
PB2303	10xNEW	12.2343	160.5471	36	41.2714	187	High
PB0883	10xNEW	11.679	116.2659	35.99	41.4708	192	High
PB2307	10xNEW	11.5465	168.4569	36.07	41.2535	185	High
PB2311	10xNEW	11.2543	140.8711	36.02	41.2131	189	High
PB2312	10xNEW	13.0932	94.4161	35.72	41.6752	187	High
PB2313	10xNEW	11.2575	155.1664	36.09	41.12	187	High
PB2316	10xNEW	12.975	139.2412	36	41.5202	190	High
PB2318	10xNEW	10.6519	80.9052	35.79	41.4453	192	High
PB2319	10xNEW	10.1788	92.636	35.81	41.3424	185	High
PB2320	10xNEW	5.7733	57.7661	36.01	40.5175	197	High
PB2342	10xNEW	7.7262	66.29	35.77	41.1782	196	High
PB2352	10xNEW	7.2781	98.9441	36.14	40.7472	190	High
PB0888	10xNEW	13.533	118.4648	35.73	41.6469	188	High
PB2360	10xNEW	11.3626	128.8359	35.87	41.3835	184	High
PB2410	10xNEW	8.9054	99.078	35.99	41.2822	190	High
PB2414	10xNEW	11.8456	137.6868	35.91	41.3002	189	High
PB2417	10xNEW	12.4027	104.1648	35.74	41.5277	188	High
PB3320	10xNEW	14.032	233.4716	36.32	41.0559	191	High
PB3363	10xNEW	7.2562	94.1396	36.03	40.8175	183	High
PB3368	10xNEW	6.0562	61.8372	35.99	40.7383	191	High
PB3370	10xNEW	9.8828	108.1197	35.96	41.1094	189	High
PB3373	10xNEW	9.7116	56.5897	35.7	41.4713	194	High
PB3378	10xNEW	6.4589	47.8925	35.74	41.2565	183	High
PB0893	10xNEW	12.301	70.6878	35.84	41.6227	193	High
PB3382	10xNEW	13.6224	143.2722	35.9	41.5815	189	High
PB3386	10xNEW	12.6472	87.1233	35.71	41.4462	191	High
PB3388	10xNEW	10.0916	108.2611	35.95	41.2233	188	High
PB3391	10xNEW	11.8061	124.4114	35.9	41.4849	189	High
PB3393	10xNEW	9.0474	50.712	35.71	41.6054	190	High
PB3400	10xNEW	9.3565	77.3031	35.79	41.4836	193	High
PB3424	10xNEW	13.9614	181.5156	35.9	41.2441	183	High
PB3425	10xNEW	11.7915	105.7854	35.8	41.5553	194	High
PB3426	10xNEW	11.8848	91.2492	35.74	41.4868	189	High
PB3430	10xNEW	10.9257	109.5303	35.84	41.3413	190	High
PB3432	10xNEW	5.1464	34.7223	35.73	40.9774	183	High
PB3434	10xNEW	5.9796	44.7239	35.82	40.914	205	High
PB3489	10xNEW	13.506	183.8533	36.13	41.2687	185	High
PB3490	10xNEW	11.7483	229.0098	36.3	41.0218	188	High
PB3497	10xNEW	11.7242	132.8804	36.01	41.4249	187	High
PB3675	10xNEW	8.9359	59.8737	35.82	41.6802	199	High
PB3677	10xNEW	12.6781	79.6998	35.73	41.6144	193	High
