PlantID	seq1	seq2	seq3	batch
pb0099	2xE-N701e	2x-N701	NaN	2x
pb0100	2xE-N701e	2x-N701	NaN	2x
pb0101	2xE-N701e	2x-N701	NaN	2x
pb0102	2xE-N701e	2x-N701	NaN	2x
pb0103	2xE-N701e	2x-N701	NaN	2x
pb0104	2xE-N701e	2x-N701	NaN	2x
pb0105	2xE-N701e	2x-N701	NaN	2x
pb0106	2xE-N701e	2x-N701	NaN	2x
pb0107	2xE-N701e	2x-N701	NaN	2x
pb0108	2xE-N701e	2x-N701	NaN	2x
pb0109	2xE-N701e	2x-N701	NaN	2x
pb0110	2xE-N701e	2x-N701	NaN	2x
pb0111	2xE-N701e	2x-N701	NaN	2x
pb0112	2xE-N701e	2x-N701	NaN	2x
pb0113	2xE-N701e	2x-N701	NaN	2x
pb0114	2xE-N701e	2x-N701	NaN	2x
pb0115	2xE-N701e	2x-N701	NaN	2x
pb0116	2xE-N701e	2x-N701	NaN	2x
pb0117	2xE-N701e	2x-N701	NaN	2x
pb0118	2xE-N701e	2x-N701	NaN	2x
pb0119	2xE-N701e	2x-N701	NaN	2x
pb0120	2xE-N701e	2x-N701	NaN	2x
pb0121	2xE-N701e	2x-N701	NaN	2x
pb0122	2xE-N701e	2x-N701	NaN	2x
pb0123	2xE-N701e	2x-N701	NaN	2x
pb0124	2xE-N701e	2x-N701	NaN	2x
pb0125	2xE-N701e	2x-N701	NaN	2x
pb0126	2xE-N701e	2x-N701	NaN	2x
pb0127	2xE-N701e	2x-N701	NaN	2x
pb0128	2xE-N701e	2x-N701	NaN	2x
pb0129	2xE-N701e	2x-N701	NaN	2x
pb0130	2xE-N701e	2x-N701	NaN	2x
pb0131	2xE-N701e	2x-N701	NaN	2x
pb0132	2xE-N701e	2x-N701	NaN	2x
pb0133	2xE-N701e	2x-N701	NaN	2x
pb0134	2xE-N701e	2x-N701	NaN	2x
pb0135	2xE-N701e	2x-N701	NaN	2x
pb0136	2xE-N701e	2x-N701	NaN	2x
pb0137	2xE-N701e	2x-N701	NaN	2x
pb0138	2xE-N701e	2x-N701	NaN	2x
pb0139	2xE-N701e	2x-N701	NaN	2x
pb0140	2xE-N701e	2x-N701	NaN	2x
pb0141	2xE-N701e	2x-N701	NaN	2x
pb0143	2xE-N701e	2x-N701	NaN	2x
pb0144	2xE-N701e	2x-N701	NaN	2x
pb0145	2xE-N701e	2x-N701	NaN	2x
pb0146	2xE-N701e	2x-N701	NaN	2x
pb0147	2xE-N701e	2x-N701	NaN	2x
pb0148	2xE-N701e	2x-N701	NaN	2x
pb0149	2xE-N701e	2x-N701	NaN	2x
pb0150	2xE-N701e	2x-N701	NaN	2x
pb0151	2xE-N701e	2x-N701	NaN	2x
pb0152	2xE-N701e	2x-N701	NaN	2x
pb0153	2xE-N701e	2x-N701	NaN	2x
