ID,Order,Location,Comments,Red,Yellow,,,
PB3677,1,YF_far,,,,,,
PB0883,2,YF_far,,,,,,
PB0876,3,YF_far,,,,,,
PB1085,4,YF_far,,,,,,nrow(MF1)#133
PB2307,5,YF_far,,,,,,
PB2312,6,YF_far,red_in_YF,4,0.5,,,
PB2309,7,YF_far,,,,,,
PB2318,8,YF_far,,,,,,
PB2311,9,YF_far,,,,,,
PB2303,10,YF_far,,,,,,
PB2320,11,YF_far,red_in_YF,4,1,,,
PB4151,12,YF_far,,,,,,
PB4144,13,YF_far,,,,,,
PB2316,14,YF_far,,,,,,
PB1092,15,YF_far,,,,,,
PB4257,16,YF_far,,,,,,
PB0893,17,YF_far,,,,,,
PB0888,18,YF_far,,,,,,
PB2190,19,YF_far,,,,,,
PB1093,20,YF_far,,,,,,
PB2197,21,YF_far,,,,,,
PB2182,22,YF_far,,,,,,
PB2191,23,YF_far,,,,,,
PB2194,24,YF_far,,,,,,
PB3675,25,YF_far,,,,,,
PB2319,26,YF_far,,,,,,
PB0898,27,YF_far,,,,,,
PB2313,28,YF_far,,,,,,
PB2198,29,YF_far,,,,,,
PB1088,30,YF_far,,,,,,
PB3562,31,YF_far,,,,,,
PB0867,32,YF_far,,,,,,
PB0886,33,YF_far,,,,,,
PB2306,34,YF_far,,,,,,
PB2308,35,YF_far,,,,,,
PB4150,36,YF_far,,,,,,
PB2180,37,YF_far,,,,,,
PB2301,38,YF_far,,,,,,
PB1096,39,YF_far,,,,,,
PB3662,40,YF_far,,,,,,
PB1099,41,YF_far,,,,,,
PB3579,42,YF_far,,,,,,
PB3580,43,YF_far,,,,,,
PB2164,44,YF_far,,,,,,
PB3577,45,YF_far,,,,,,
PB2169,46,YF_far,,,,,,
PB0859,47,YF_far,,,,,,
PB1100,48,YF_far,,,,,,
PB1087,49,YF_far,,,,,,
PB2181,50,YF_far,,,,,,
PB2170,51,YF_far,,,,,,
PB0896,52,YF_far,,,,,,
PB1082,53,YF_far,,,,,,
PB1097,54,YF_far,,,,,,
PB2177,55,YF_far,,,,,,
PB4145,56,YF_far,,,,,,
PB4142,57,YF_far,,,,,,
PB0864,58,YF_far,,,,,,
PB3568,59,YF_far,,,,,,
PB4750,60,YF_far,,,,,,
PB2168,61,YF_far,,,,,,
PB2171,62,YF_far,,,,,,
PB2175,63,YF_far,,,,,,
PB4154,64,YF_far,,,,,,
PB2167,65,YF_far,,,,,,
PB2162,66,YF_far,,,,,,
PB2302,67,YF_far,,,,,,
PB3575,68,YF_far,,,,,,
PB1095,69,YF_far,,,,,,
PB4148,70,YF_far,,,,,,
PB2188,71,YF_far,,,,,,
PB2179,72,YF_far,,,,,,
PB4141,73,YF_far,,,,,,
PB2173,74,YF_far,,,,,,
PB2178,75,YF_far,,,,,,
PB4262,1,YF_near,,,,,,
PB1651,2,YF_near,,,,,,
PB4269,3,YF_near,,,,,,
PB1167,4,YF_near,,,,,,
PB2418,5,YF_near,,,,,,
PB1653,6,YF_near,,,,,,
PB1112,7,YF_near,,,,,,
PB4868,8,YF_near,,,,,,
PB1175,9,YF_near,,,,,,
PB3379,10,YF_near,,,,,,
PB1667,11,YF_near,,,,,,
PB3387,12,YF_near,,,,,,
PB3399,13,YF_near,,,,,,
PB1679,14,YF_near,,,,,,
PB1659,15,YF_near,,,,,,
PB1663,16,YF_near,,,,,,
PB1673,17,YF_near,,,,,,
PB4869,18,YF_near,,,,,,
PB3385,19,YF_near,,,,,,
PB4081,20,YF_near,,,,,,
PB4103,21,YF_near,,,,,,
PB4026,22,YF_near,,,,,,
PB1666,23,YF_near,,,,,,
PB1680,24,YF_near,,,,,,
PB4022,25,YF_near,,,,,,
PB1678,26,YF_near,,,,,,
PB3437,27,YF_near,,,,,,
PB4866,28,YF_near,,,,,,
PB1674,29,YF_near,,,,,,
PB1670,30,YF_near,,,,,,
PB4120,31,YF_near,,,,,,
PB3374,32,YF_near,,,,,,
PB0885,33,YF_near,,,,,,
PB1675,34,YF_near,,,,,,
PB1671,35,YF_near,,,,,,
PB3371,36,YF_near,,,,,,
PB1676,37,YF_near,,,,,,
PB3604,38,YF_near,,,,,,
PB4088,39,YF_near,,,,,,
PB3367,40,YF_near,,,,,,
PB1848,1,MF_near,,,,,,
PB0836,2,MF_near,,,,,,
PB1014,3,MF_near,,,,,,
PB1195,4,MF_near,,,,,,
PB1843,5,MF_near,,,,,,
PB1192,6,MF_near,,,,,,
PB1847,7,MF_near,,,,,,
PB4628,8,MF_near,,,,,,
PB4626,9,MF_near,,,,,,
PB1915,10,MF_near,,,,,,
PB1914,11,MF_near,,,,,,
PB0871,12,MF_near,,,,,,
PB1008,13,MF_near,,,,,,
PB1009,14,MF_near,,,,,,
PB1846,15,MF_near,,,,,,
PB0810,16,MF_near,,,,,,
PB4631,17,MF_near,,,,,,
PB1844,18,MF_near,,,,,,
PB1850,19,MF_near,,,,,,
PB0873,20,MF_near,,,,,,
PB0866,21,MF_near,,,,,,
PB0861,22,MF_near,,,,,,
PB0868,23,MF_near,,,,,,
PB0869,24,MF_near,,,,,,
PB3490,25,MF_near,,,,,,
PB0894,26,MF_near,,,,,,
PB0860,27,MF_near,,,,,,
PB0854,28,MF_near,,,,,,
PB0881,29,MF_near,,,,,,
PB1860,30,MF_near,,,,,,
PB4622,31,MF_near,,,,,,
PB0966,32,MF_near,,,,,,
PB1058,33,MF_near,,,,,,
PB1902,34,MF_near,,,,,,
PB0842,35,MF_near,,,,,,
