,ID,Tissue.Qty,Plate,Plate.Row,Plate.Col,Pos,Red,Yellow,Venation,AvgLat,AvgLong,AvgAlt
1,pa0212,NA,8,H,8,8H8,0.5,2.5,2.5,42.32148851,2.07094309,1203.450667
2,pa0212,NA,8,H,8,8H8,0.5,2.5,2.5,42.32148851,2.07094309,1203.450667
3,pa0291,NA,8,B,9,8B9,3,2.5,3,42.32331711,2.076884631,1191.85
4,pa0343,NA,8,H,9,8H9,3.5,1,3,42.32263173,2.073950049,1196.066333
5,pa0344,NA,8,A,10,8A10,2,2.5,3,42.32188937,2.072233139,1197.816
6,pa0349,NA,8,B,10,8B10,0.5,2.5,1.5,42.32174469,2.071770901,1202.768333
7,pa0350,NA,8,C,10,8C10,0.5,1,3,42.32183537,2.072189097,1197.82
8,pa0356,NA,8,D,10,8D10,1.5,1,1.5,42.32182893,2.072051504,1201.241333
9,pa0447,NA,8,E,10,8.00E+10,1.5,1,2,42.32220745,2.072938618,1201.621
10,pa0666,NA,8,H,10,8H10,0.5,3,1.5,42.32174356,2.071785385,1203.074333
11,pa0986,NA,8,C,11,8C11,3.5,1,3.5,42.32364571,2.079837309,1186.243667
12,pa0994,NA,8,D,11,8D11,2,1,2.5,42.32359992,2.079216759,1189.001667
13,pa0998,NA,8,E,11,8.00E+11,2,1,2,42.32359445,2.079091685,1185.568667
14,pa0999,NA,8,F,11,8F11,1,0.5,1.5,42.32364516,2.079559666,1184.259333
15,pa1168,NA,8,H,11,8H11,4,0.5,3.5,42.32356367,2.081125286,1231.477333
16,pa1179,NA,8,A,12,8A12,0.5,0.5,na,42.32363475,2.080387859,1187.723
17,pa1282,1,9,E,4,9.00E+04,3.5,0.5,3,42.32287491,2.075551131,1191.304333
18,pa1308,NA,8,C,12,8C12,3,0.5,3.5,42.32710707,2.076369546,1374.712667
19,pa1799,NA,8,E,12,8.00E+12,0.5,2.5,1.5,42.3217426,2.07178748,1203.436
20,pa1896,NA,9,C,1,9C1,3,1.5,3.5,42.32369935,2.079928631,1192.790333
21,pa1904,NA,9,D,1,9D1,4,0.5,3.5,42.32367797,2.081057365,1206.933667
22,pa1943,NA,9,F,1,9F1,4,1,3.5,42.32371657,2.081465279,1180.03
23,pa1945,NA,9,G,1,9G1,4,1,3.5,42.32377024,2.081710185,1191.148333
24,pa2417,NA,9,G,2,9G2,4,1,3.5,42.32352977,2.078411349,1184.705
25,pa2468,NA,9,H,2,9H2,0.5,0.5,2.5,42.32200352,2.072535325,1208.69575
26,pa2477,NA,9,B,3,9B3,1.5,2.5,2.5,42.32213691,2.072647658,1202.645333
27,pa2478,NA,9,C,3,9C3,4,2.5,3.5,42.32208165,2.07267513,1201.124333
28,pa2483,NA,9,D,3,9D3,0.5,1.5,3,42.32220293,2.072780195,1204.092667
29,pa2484,NA,9,E,3,9.00E+03,2,2.5,3.5,42.32232956,2.073215216,1204.692333
30,pa2485,NA,9,F,3,9F3,2,2,0.5,42.32223086,2.072852351,1200.207
31,pa2486,NA,9,G,3,9G3,2,1.5,3.5,42.3222006,2.072760392,1200.686
32,pa2499,NA,9,A,4,9A4,2.5,2.5,3.5,42.32241478,2.073311128,1197.120667
33,pa2530,NA,9,D,4,9D4,0.5,2.5,1.5,42.32161491,2.070709785,1200.305667
34,pb0059,NA,5,F,9,5F9,2.5,2.5,1,42.32335306,2.076898606,1178.09125
35,pb0151,NA,2,D,7,2D7,2,2,2,42.32233848,2.073183466,1201.365667
36,pb0152,NA,2,E,7,2.00E+07,1.5,1,1.5,42.32227322,2.07304144,1197.692667
37,pb0153,NA,2,F,7,2F7,1.5,1,2,42.32227598,2.073034231,1196.549
38,pb0154,NA,2,G,7,2G7,4,0.5,3,42.3223865,2.073293942,1211.910667
39,pb0155,NA,2,H,7,2H7,0.5,1,1.5,42.32221457,2.072789274,1202.878667
40,pb0156,NA,2,A,8,2A8,3.5,2.5,3.5,42.32232102,2.073156392,1195.457667
41,pb0157,NA,2,B,8,2B8,2,2.5,2.5,42.32238484,2.073276506,1204.431
42,pb0158,NA,2,C,8,2C8,0.5,1,1.5,42.32230712,2.073098908,1205.029667
43,pb0159,NA,2,D,8,2D8,3,2.5,3.5,42.3225896,2.073859055,1195.389
44,pb0160,NA,2,E,8,2.00E+08,3.5,2.5,3,42.32234167,2.073236986,1206.244667
45,pb0161,NA,2,F,8,2F8,2.5,1,3.5,42.32239384,2.073286476,1202.927333
46,pb0162,NA,2,G,8,2G8,4,1,3.5,42.32239259,2.073288593,1202.031667
47,pb0163,NA,2,H,8,2H8,1,1,3.5,42.32220956,2.072794525,1208.645333
48,pb0164,NA,2,A,9,2A9,4,1,3.5,42.32257555,2.073856341,1196.574667
49,pb0166,NA,2,C,9,2C9,2,0.5,2.5,42.32241734,2.073384028,1196.863667
50,pb0168,NA,2,D,9,2D9,2,1,3,42.32222001,2.072820941,1203.124667
51,pb0169,NA,2,E,9,2.00E+09,2,1,3.5,42.3223858,2.073320955,1198.325667
52,pb0170,NA,2,F,9,2F9,4,2,3,42.32240372,2.073354845,1197.394
53,pb0171,NA,2,G,9,2G9,1,2.5,3.5,42.32231799,2.07317526,1204.195667
54,pb0172,NA,2,H,9,2H9,2,1,2.5,42.32204037,2.072460084,1198.722667
55,pb0174,NA,2,B,10,2B10,1,1,2,42.32245176,2.073444984,1197.331
56,pb0175,NA,2,C,10,2C10,1.5,1,2,42.32220104,2.072778759,1201.234
57,pb0176,NA,2,D,10,2D10,2.5,1,4,42.32262417,2.073927302,1195.307667
