PlantID	fullname	batch_long	batch	species	location	Latitude	Longitude	Altitude	Pool	fullname_v3.5
PB0174	10x-1_Am_Pla_pb0174	10x-1	10x	Am	Pla	42.32245176	2.073444984	1197.331	core	10x-1_Am_Pla_pb0174_v3.5
PB3403	10x-10_Am_Pla_pb3403	10x-10	10x	Am	Pla	42.32351987	2.077625188	1168.738667	core	10x-10_Am_Pla_pb3403_v3.5
PB4318	10x-11_Am_Pla_pb4318	10x-11	10x	Am	Pla	42.32296171	2.075613979	1201.182333	core	10x-11_Am_Pla_pb4318_v3.5
PB4563	10x-12_Am_Pla_pb4563	10x-12	10x	Am	Pla	42.32257557	2.070000085	1221.202667	core	10x-12_Am_Pla_pb4563_v3.5
PB1196	10x-13_Am_Pla_pb1196	10x-13	10x	Am	Pla	42.32355876	2.084526423	1192.413	MF1	10x-13_Am_Pla_pb1196_v3.5
PB1008	10x-14_Am_Pla_pb1008	10x-14	10x	Am	Pla	42.32193799	2.08869409	1198.908	MF2	10x-14_Am_Pla_pb1008_v3.5
PB1253	10x-15_Am_Pla_pb1253	10x-15	10x	Am	Pla	42.32089515	2.096052707	1245.775	MF3	10x-15_Am_Pla_pb1253_v3.5
PB1682	10x-16_Am_Pla_pb1682	10x-16	10x	Am	Pla	42.3251557	2.059142502	1247.496	YF2	10x-16_Am_Pla_pb1682_v3.5
PB2190	10x-17_Am_Pla_pb2190	10x-17	10x	Am	Pla	42.32548758	2.052242293	1284.645	YF3	10x-17_Am_Pla_pb2190_v3.5
PB1687	10x-18_Am_Pla_pb1687	10x-18	10x	Am	Pla	42.32458854	2.064561245	1219.88	YF1	10x-18_Am_Pla_pb1687_v3.5
PB0216	10x-2_Am_Pla_pb0216	10x-2	10x	Am	Pla	42.32159863	2.071414131	1201.276	core	10x-2_Am_Pla_pb0216_v3.5
PB0294	10x-3_Am_Pla_pb0294	10x-3	10x	Am	Pla	42.32369566	2.08055609	1182.790667	core	10x-3_Am_Pla_pb0294_v3.5
PB0349	10x-4_Am_Pla_pb0349	10x-4	10x	Am	Pla	42.3236443	2.080028304	1184.844333	core	10x-4_Am_Pla_pb0349_v3.5
PB0403	10x-5_Am_Pla_pb0403	10x-5	10x	Am	Pla	42.32285862	2.069382856	1221.651333	core	10x-5_Am_Pla_pb0403_v3.5
PB0458	10x-6_Am_Pla_pb0458	10x-6	10x	Am	Pla	42.32336176	2.068642614	1194.324333	core	10x-6_Am_Pla_pb0458_v3.5
PB0407	10x-7_Am_Pla_pb0407	10x-7	10x	Am	Pla	42.32237795	2.073535775	1200.62	core	10x-7_Am_Pla_pb0407_v3.5
PB0768	10x-8_Am_Pla_pb0768	10x-8	10x	Am	Pla	42.3235765	2.079312521	1190.990667	core	10x-8_Am_Pla_pb0768_v3.5
PB2333	10x-9_Am_Pla_pb2333	10x-9	10x	Am	Pla	42.32338724	2.077412294	1197.424333	core	10x-9_Am_Pla_pb2333_v3.5
PB0099	2x-N701-1_Am_Pla_pb0099	2x-N701-1	2x	Am	Pla	42.32314466	2.07634445	1197.18	core	2x-N701-1_Am_Pla_pb0099_v3.5
PB0108	2x-N701-10_Am_Pla_pb0108	2x-N701-10	2x	Am	Pla	42.32288977	2.075153344	1186.696	core	2x-N701-10_Am_Pla_pb0108_v3.5
PB0109	2x-N701-11_Am_Pla_pb0109	2x-N701-11	2x	Am	Pla	42.32274454	2.074466107	1210.926	core	2x-N701-11_Am_Pla_pb0109_v3.5
PB0110	2x-N701-12_Am_Pla_pb0110	2x-N701-12	2x	Am	Pla	42.32276607	2.074556575	1213.065	core	2x-N701-12_Am_Pla_pb0110_v3.5
PB0111	2x-N701-13_Am_Pla_pb0111	2x-N701-13	2x	Am	Pla	42.3227846	2.075280122	1208.875	core	2x-N701-13_Am_Pla_pb0111_v3.5
PB0112	2x-N701-14_Am_Pla_pb0112	2x-N701-14	2x	Am	Pla	42.32286437	2.075247534	1194.659	core	2x-N701-14_Am_Pla_pb0112_v3.5
PB0113	2x-N701-15_Am_Pla_pb0113	2x-N701-15	2x	Am	Pla	42.32275553	2.074738829	1222.321	core	2x-N701-15_Am_Pla_pb0113_v3.5
PB0114	2x-N701-16_Am_Pla_pb0114	2x-N701-16	2x	Am	Pla	42.3228606	2.075267114	1195.687	core	2x-N701-16_Am_Pla_pb0114_v3.5
PB0115	2x-N701-17_Am_Pla_pb0115	2x-N701-17	2x	Am	Pla	NA	NA	NA	NA	2x-N701-17_Am_Pla_pb0115_v3.5
PB0116	2x-N701-18_Am_Pla_pb0116	2x-N701-18	2x	Am	Pla	42.32285064	2.075107551	1196.562	core	2x-N701-18_Am_Pla_pb0116_v3.5
PB0117	2x-N701-19_Am_Pla_pb0117	2x-N701-19	2x	Am	Pla	42.3229004	2.07523318	1189.466	core	2x-N701-19_Am_Pla_pb0117_v3.5
PB0100	2x-N701-2_Am_Pla_pb0100	2x-N701-2	2x	Am	Pla	42.32288566	2.075456602	1192.789	core	2x-N701-2_Am_Pla_pb0100_v3.5
PB0118	2x-N701-20_Am_Pla_pb0118	2x-N701-20	2x	Am	Pla	42.32287562	2.075262704	1192.493	core	2x-N701-20_Am_Pla_pb0118_v3.5
PB0119	2x-N701-21_Am_Pla_pb0119	2x-N701-21	2x	Am	Pla	42.32286124	2.075282224	1196.115	core	2x-N701-21_Am_Pla_pb0119_v3.5
PB0120	2x-N701-22_Am_Pla_pb0120	2x-N701-22	2x	Am	Pla	42.32267669	2.075144079	1253.164	core	2x-N701-22_Am_Pla_pb0120_v3.5
PB0121	2x-N701-23_Am_Pla_pb0121	2x-N701-23	2x	Am	Pla	42.32287628	2.075263853	1195.134	core	2x-N701-23_Am_Pla_pb0121_v3.5
PB0122	2x-N701-24_Am_Pla_pb0122	2x-N701-24	2x	Am	Pla	42.322868	2.075085054	1192.39	core	2x-N701-24_Am_Pla_pb0122_v3.5
PB0123	2x-N701-25_Am_Pla_pb0123	2x-N701-25	2x	Am	Pla	42.32279943	2.075279034	1205.063	core	2x-N701-25_Am_Pla_pb0123_v3.5
PB0124	2x-N701-26_Am_Pla_pb0124	2x-N701-26	2x	Am	Pla	42.32273606	2.074717518	1207.125	core	2x-N701-26_Am_Pla_pb0124_v3.5
PB0125	2x-N701-27_Am_Pla_pb0125	2x-N701-27	2x	Am	Pla	42.32284534	2.075140177	1197.252	core	2x-N701-27_Am_Pla_pb0125_v3.5
PB0126	2x-N701-28_Am_Pla_pb0126	2x-N701-28	2x	Am	Pla	42.32293158	2.075133919	1210.09	core	2x-N701-28_Am_Pla_pb0126_v3.5
PB0127	2x-N701-29_Am_Pla_pb0127	2x-N701-29	2x	Am	Pla	42.32278874	2.074639761	1203.688	core	2x-N701-29_Am_Pla_pb0127_v3.5
PB0101	2x-N701-3_Am_Pla_pb0101	2x-N701-3	2x	Am	Pla	42.32278726	2.074670315	1198.815	core	2x-N701-3_Am_Pla_pb0101_v3.5
PB0128	2x-N701-30_Am_Pla_pb0128	2x-N701-30	2x	Am	Pla	42.32287071	2.075299614	1192.711	core	2x-N701-30_Am_Pla_pb0128_v3.5
PB0129	2x-N701-31_Am_Pla_pb0129	2x-N701-31	2x	Am	Pla	42.32278973	2.07467853	1196.789	core	2x-N701-31_Am_Pla_pb0129_v3.5
PB0130	2x-N701-32_Am_Pla_pb0130	2x-N701-32	2x	Am	Pla	42.32282885	2.07510723	1200.147	core	2x-N701-32_Am_Pla_pb0130_v3.5
PB0131	2x-N701-33_Am_Pla_pb0131	2x-N701-33	2x	Am	Pla	42.32277941	2.07466957	1196.494	core	2x-N701-33_Am_Pla_pb0131_v3.5
PB0132	2x-N701-34_Am_Pla_pb0132	2x-N701-34	2x	Am	Pla	42.32273816	2.074211573	1203.361	core	2x-N701-34_Am_Pla_pb0132_v3.5
PB0133	2x-N701-35_Am_Pla_pb0133	2x-N701-35	2x	Am	Pla	42.32279895	2.075235616	1204.713	core	2x-N701-35_Am_Pla_pb0133_v3.5
PB0134	2x-N701-36_Am_Pla_pb0134	2x-N701-36	2x	Am	Pla	42.3228532	2.075256705	1255.551	core	2x-N701-36_Am_Pla_pb0134_v3.5
PB0135	2x-N701-37_Am_Pla_pb0135	2x-N701-37	2x	Am	Pla	42.32280833	2.074648192	1192.841	core	2x-N701-37_Am_Pla_pb0135_v3.5
PB0136	2x-N701-38_Am_Pla_pb0136	2x-N701-38	2x	Am	Pla	42.32283915	2.074990424	1195.197	core	2x-N701-38_Am_Pla_pb0136_v3.5
PB0137	2x-N701-39_Am_Pla_pb0137	2x-N701-39	2x	Am	Pla	42.322844	2.075228145	1201.605	core	2x-N701-39_Am_Pla_pb0137_v3.5
PB0102	2x-N701-4_Am_Pla_pb0102	2x-N701-4	2x	Am	Pla	42.32286705	2.075239502	1195.996	core	2x-N701-4_Am_Pla_pb0102_v3.5
PB0138	2x-N701-40_Am_Pla_pb0138	2x-N701-40	2x	Am	Pla	42.32268032	2.075147035	1251.546	core	2x-N701-40_Am_Pla_pb0138_v3.5
PB0139	2x-N701-41_Am_Pla_pb0139	2x-N701-41	2x	Am	Pla	42.32271766	2.074190194	1197.38	core	2x-N701-41_Am_Pla_pb0139_v3.5
PB0140	2x-N701-42_Am_Pla_pb0140	2x-N701-42	2x	Am	Pla	42.32268323	2.074045466	1189.447	core	2x-N701-42_Am_Pla_pb0140_v3.5
PB0141	2x-N701-43_Am_Pla_pb0141	2x-N701-43	2x	Am	Pla	42.32282994	2.075223275	1200.961	core	2x-N701-43_Am_Pla_pb0141_v3.5
PB0143	2x-N701-44_Am_Pla_pb0143	2x-N701-44	2x	Am	Pla	42.32273121	2.074287348	1235.964	core	2x-N701-44_Am_Pla_pb0143_v3.5
PB0144	2x-N701-45_Am_Pla_pb0144	2x-N701-45	2x	Am	Pla	NA	NA	NA	NA	2x-N701-45_Am_Pla_pb0144_v3.5
PB0145	2x-N701-46_Am_Pla_pb0145	2x-N701-46	2x	Am	Pla	42.32285489	2.07508672	1194.958	core	2x-N701-46_Am_Pla_pb0145_v3.5
PB0146	2x-N701-47_Am_Pla_pb0146	2x-N701-47	2x	Am	Pla	42.32276351	2.074516273	1208.887	core	2x-N701-47_Am_Pla_pb0146_v3.5
PB0147	2x-N701-48_Am_Pla_pb0147	2x-N701-48	2x	Am	Pla	42.32274777	2.074283931	1198.889	core	2x-N701-48_Am_Pla_pb0147_v3.5
PB0148	2x-N701-49_Am_Pla_pb0148	2x-N701-49	2x	Am	Pla	42.32276553	2.074588269	1210.597	core	2x-N701-49_Am_Pla_pb0148_v3.5
PB0103	2x-N701-5_Am_Pla_pb0103	2x-N701-5	2x	Am	Pla	42.32281038	2.074721537	1202.418	core	2x-N701-5_Am_Pla_pb0103_v3.5
PB0149	2x-N701-50_Am_Pla_pb0149	2x-N701-50	2x	Am	Pla	42.32274746	2.074286245	1199.098	core	2x-N701-50_Am_Pla_pb0149_v3.5
PB0150	2x-N701-51_Am_Pla_pb0150	2x-N701-51	2x	Am	Pla	42.32282985	2.075014624	1199.045	core	2x-N701-51_Am_Pla_pb0150_v3.5
PB0151	2x-N701-52_Am_Pla_pb0151	2x-N701-52	2x	Am	Pla	42.32233848	2.073183466	1201.365667	core	2x-N701-52_Am_Pla_pb0151_v3.5
PB0152	2x-N701-53_Am_Pla_pb0152	2x-N701-53	2x	Am	Pla	42.32227322	2.07304144	1197.692667	core	2x-N701-53_Am_Pla_pb0152_v3.5
PB0153	2x-N701-54_Am_Pla_pb0153	2x-N701-54	2x	Am	Pla	42.32227598	2.073034231	1196.549	core	2x-N701-54_Am_Pla_pb0153_v3.5
PB0154	2x-N701-55_Am_Pla_pb0154	2x-N701-55	2x	Am	Pla	42.3223865	2.073293942	1211.910667	core	2x-N701-55_Am_Pla_pb0154_v3.5
PB0155	2x-N701-56_Am_Pla_pb0155	2x-N701-56	2x	Am	Pla	42.32221457	2.072789274	1202.878667	core	2x-N701-56_Am_Pla_pb0155_v3.5
PB0156	2x-N701-57_Am_Pla_pb0156	2x-N701-57	2x	Am	Pla	42.32232102	2.073156392	1195.457667	core	2x-N701-57_Am_Pla_pb0156_v3.5
PB0157	2x-N701-58_Am_Pla_pb0157	2x-N701-58	2x	Am	Pla	42.32238484	2.073276506	1204.431	core	2x-N701-58_Am_Pla_pb0157_v3.5
PB0158	2x-N701-59_Am_Pla_pb0158	2x-N701-59	2x	Am	Pla	42.32230712	2.073098908	1205.029667	core	2x-N701-59_Am_Pla_pb0158_v3.5
PB0104	2x-N701-6_Am_Pla_pb0104	2x-N701-6	2x	Am	Pla	42.32265042	2.07394946	1190.75	core	2x-N701-6_Am_Pla_pb0104_v3.5
PB0159	2x-N701-60_Am_Pla_pb0159	2x-N701-60	2x	Am	Pla	42.3225896	2.073859055	1195.389	core	2x-N701-60_Am_Pla_pb0159_v3.5
PB0160	2x-N701-61_Am_Pla_pb0160	2x-N701-61	2x	Am	Pla	42.32234167	2.073236986	1206.244667	core	2x-N701-61_Am_Pla_pb0160_v3.5
PB0161	2x-N701-62_Am_Pla_pb0161	2x-N701-62	2x	Am	Pla	42.32239384	2.073286476	1202.927333	core	2x-N701-62_Am_Pla_pb0161_v3.5
PB0162	2x-N701-63_Am_Pla_pb0162	2x-N701-63	2x	Am	Pla	42.32239259	2.073288593	1202.031667	core	2x-N701-63_Am_Pla_pb0162_v3.5
