ID	barcode	location	species
PB1000	Plate9_C33	Pla	Amajus
PB1042	Plate9_C34	Pla	Amajus
PB1046	Plate9_C35	Pla	Amajus
PB1047	Plate9_C36	Pla	Amajus
PB1048	Plate9_C37	Pla	Amajus
PB1053	Plate9_C38	Pla	Amajus
PB1060	Plate9_C39	Pla	Amajus
PB1253	Plate9_C40	Pla	Amajus
PB1469	Plate9_C41	Pla	Amajus
PB1470	Plate9_C42	Pla	Amajus
PB1512	Plate9_C43	Pla	Amajus
PB1522	Plate9_C44	Pla	Amajus
PB1561	Plate9_C45	Pla	Amajus
PB1569	Plate9_C46	Pla	Amajus
PB1591	Plate9_C47	Pla	Amajus
PB1602	Plate9_C48	Pla	Amajus
PB1606	Plate9_C49	Pla	Amajus
PB2943	Plate9_C50	Pla	Amajus
PB2944	Plate9_C51	Pla	Amajus
PB2945	Plate9_C52	Pla	Amajus
PB2946	Plate9_C53	Pla	Amajus
PB2948	Plate9_C54	Pla	Amajus
PB0810	Plate9_C55	Pla	Amajus
PB0836	Plate9_C56	Pla	Amajus
PB0854	Plate9_C57	Pla	Amajus
PB0860	Plate9_C58	Pla	Amajus
PB0861	Plate9_C59	Pla	Amajus
PB0866	Plate9_C60	Pla	Amajus
PB0868	Plate9_C61	Pla	Amajus
PB0869	Plate9_C62	Pla	Amajus
PB0871	Plate9_C63	Pla	Amajus
PB0873	Plate9_C64	Pla	Amajus
PB0881	Plate9_C65	Pla	Amajus
PB0894	Plate9_C66	Pla	Amajus
PB1008	Plate9_C67	Pla	Amajus
PB1009	Plate9_C68	Pla	Amajus
PB1014	Plate9_C69	Pla	Amajus
PB1192	Plate9_C70	Pla	Amajus
PB1195	Plate9_C71	Pla	Amajus
PB1843	Plate9_C72	Pla	Amajus
PB1844	Plate9_C73	Pla	Amajus
PB1846	Plate9_C74	Pla	Amajus
PB1847	Plate9_C75	Pla	Amajus
PB1848	Plate9_C76	Pla	Amajus
PB1850	Plate9_C77	Pla	Amajus
PB1860	Plate9_C78	Pla	Amajus
PB1914	Plate9_C79	Pla	Amajus
PB1188	Plate9_C80	Pla	Amajus
PB1191	Plate9_C81	Pla	Amajus
PB1196	Plate9_C82	Pla	Amajus
PB1705	Plate9_C83	Pla	Amajus
PB1706	Plate9_C84	Pla	Amajus
PB1720	Plate9_C85	Pla	Amajus
PB1857	Plate9_C86	Pla	Amajus
PB3303	Plate9_C87	Pla	Amajus
PB3304	Plate9_C88	Pla	Amajus
PB3306	Plate9_C89	Pla	Amajus
PB3308	Plate9_C90	Pla	Amajus
PB3311	Plate9_C91	Pla	Amajus
PB3312	Plate9_C92	Pla	Amajus
PB3313	Plate9_C93	Pla	Amajus
PB3316	Plate9_C94	Pla	Amajus
PB3317	Plate9_C95	Pla	Amajus
PB3318	Plate9_C96	Pla	Amajus
PB3320	Plate10_C01	Pla	Amajus
PB3489	Plate10_C02	Pla	Amajus
PB3497	Plate10_C03	Pla	Amajus
PB4169	Plate10_C04	Pla	Amajus
PB4170	Plate10_C05	Pla	Amajus
PB4180	Plate10_C06	Pla	Amajus
PB4214	Plate10_C07	Pla	Amajus
PB4593	Plate10_C08	Pla	Amajus
PB0876	Plate10_C09	Pla	Amajus
PB0883	Plate10_C10	Pla	Amajus
PB0888	Plate10_C11	Pla	Amajus
PB0893	Plate10_C12	Pla	Amajus
PB0898	Plate10_C13	Pla	Amajus
PB1085	Plate10_C14	Pla	Amajus
PB1088	Plate10_C15	Pla	Amajus
PB1092	Plate10_C16	Pla	Amajus
PB1093	Plate10_C17	Pla	Amajus
PB2182	Plate10_C18	Pla	Amajus
PB2190	Plate10_C19	Pla	Amajus
PB2191	Plate10_C20	Pla	Amajus
PB2194	Plate10_C21	Pla	Amajus
PB2197	Plate10_C22	Pla	Amajus
PB2198	Plate10_C23	Pla	Amajus
PB2303	Plate10_C24	Pla	Amajus
PB2307	Plate10_C25	Pla	Amajus
PB2311	Plate10_C26	Pla	Amajus
PB2312	Plate10_C27	Pla	Amajus
PB2313	Plate10_C28	Pla	Amajus
PB2316	Plate10_C29	Pla	Amajus
PB2318	Plate10_C30	Pla	Amajus
PB2319	Plate10_C31	Pla	Amajus
PB2320	Plate10_C32	Pla	Amajus
PB3675	Plate10_C33	Pla	Amajus
PB0875	Plate10_C34	Pla	Amajus
PB0900	Plate10_C35	Pla	Amajus
PB0952	Plate10_C36	Pla	Amajus
PB1654	Plate10_C37	Pla	Amajus
PB1656	Plate10_C38	Pla	Amajus
PB1658	Plate10_C39	Pla	Amajus
PB1665	Plate10_C40	Pla	Amajus
PB1681	Plate10_C41	Pla	Amajus
PB1682	Plate10_C42	Pla	Amajus
PB1684	Plate10_C43	Pla	Amajus
PB1686	Plate10_C44	Pla	Amajus
PB1691	Plate10_C45	Pla	Amajus
PB1692	Plate10_C46	Pla	Amajus
PB1695	Plate10_C47	Pla	Amajus
PB1699	Plate10_C48	Pla	Amajus
PB1700	Plate10_C49	Pla	Amajus
PB2295	Plate10_C50	Pla	Amajus
PB2342	Plate10_C51	Pla	Amajus
PB2360	Plate10_C52	Pla	Amajus
PB3382	Plate10_C53	Pla	Amajus
PB3386	Plate10_C54	Pla	Amajus
PB3388	Plate10_C55	Pla	Amajus
PB3391	Plate10_C56	Pla	Amajus
PB3393	Plate10_C57	Pla	Amajus
PB3400	Plate10_C58	Pla	Amajus
PB0960	Plate10_C59	Pla	Amajus
PB1164	Plate10_C60	Pla	Amajus
PB1166	Plate10_C61	Pla	Amajus
PB1172	Plate10_C62	Pla	Amajus
PB1179	Plate10_C63	Pla	Amajus
PB1662	Plate10_C64	Pla	Amajus
PB1664	Plate10_C65	Pla	Amajus
PB1672	Plate10_C66	Pla	Amajus
PB1677	Plate10_C67	Pla	Amajus
PB1687	Plate10_C68	Pla	Amajus
PB1693	Plate10_C69	Pla	Amajus
PB1694	Plate10_C70	Pla	Amajus
PB1697	Plate10_C71	Pla	Amajus
PB2352	Plate10_C72	Pla	Amajus
PB2410	Plate10_C73	Pla	Amajus
PB2414	Plate10_C74	Pla	Amajus
PB2417	Plate10_C75	Pla	Amajus
PB3363	Plate10_C76	Pla	Amajus
PB3368	Plate10_C77	Pla	Amajus
PB3370	Plate10_C78	Pla	Amajus
PB3373	Plate10_C79	Pla	Amajus
PB3378	Plate10_C80	Pla	Amajus
PB3424	Plate10_C81	Pla	Amajus
PB3425	Plate10_C82	Pla	Amajus
PB3426	Plate10_C83	Pla	Amajus
PA1499	Plate10_C84	Pla	Amajus
PB0912	Plate10_C85	Pla	Amajus
PB3845	Plate10_C86	Pla	Amajus
