PlantID	PlantID_UPPER	PlantID_LongFormat	PlantID_longFormat_refVersion	Batch	Batch_PlantID	PlantID_Batch	Species	Location	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_rank	Coverage_rank_MEGA	Coverage_bin	Latitude	Longitude	Altitude	Pool	bamFILE	ColorClass_1	Comments
pb0174	PB0174	10x-1_Am_Pla_pb0174	10x-1_Am_Pla_pb0174_v3.5	10x	10x_PB0174	PB0174_10x	Am	Pla	19.8641	189.3125	35.97	42.4841	208	1066	952	High	42.32245176	2.073444984	1197.331	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-1_Am_Pla_pb0174_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0216	PB0216	10x-2_Am_Pla_pb0216	10x-2_Am_Pla_pb0216_v3.5	10x	10x_PB0216	PB0216_10x	Am	Pla	14.1973	99.6698	35.65	42.3621	200	1059	945	High	42.32159863	2.071414131	1201.276	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-2_Am_Pla_pb0216_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0294	PB0294	10x-3_Am_Pla_pb0294	10x-3_Am_Pla_pb0294_v3.5	10x	10x_PB0294	PB0294_10x	Am	Pla	9.7799	108.0644	36.01	41.8558	194	986	872	High	42.32369566	2.08055609	1182.790667	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-3_Am_Pla_pb0294_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0349	PB0349	10x-4_Am_Pla_pb0349	10x-4_Am_Pla_pb0349_v3.5	10x	10x_PB0349	PB0349_10x	Am	Pla	9.393	103.8537	35.89	41.6851	200	976	862	High	42.3236443	2.080028304	1184.844333	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-4_Am_Pla_pb0349_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0403	PB0403	10x-5_Am_Pla_pb0403	10x-5_Am_Pla_pb0403_v3.5	10x	10x_PB0403	PB0403_10x	Am	Pla	13.4938	181.4038	36.05	41.9507	197	1051	937	High	42.32285862	2.069382856	1221.651333	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-5_Am_Pla_pb0403_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0407	PB0407	10x-7_Am_Pla_pb0407	10x-7_Am_Pla_pb0407_v3.5	10x	10x_PB0407	PB0407_10x	Am	Pla	13.0262	102.5209	35.54	42.2087	200	1048	934	High	42.32237795	2.073535775	1200.62	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-7_Am_Pla_pb0407_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0458	PB0458	10x-6_Am_Pla_pb0458	10x-6_Am_Pla_pb0458_v3.5	10x	10x_PB0458	PB0458_10x	Am	Pla	11.1091	103.0866	35.82	41.8983	204	1018	904	High	42.32336176	2.068642614	1194.324333	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-6_Am_Pla_pb0458_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb0768	PB0768	10x-8_Am_Pla_pb0768	10x-8_Am_Pla_pb0768_v3.5	10x	10x_PB0768	PB0768_10x	Am	Pla	16.547	224.6273	35.81	42.5919	195	1061	947	High	42.3235765	2.079312521	1190.990667	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-8_Am_Pla_pb0768_v3.5.sorted.BXnum.merged.bam	H	2x_ColourValues
pb2333	PB2333	10x-9_Am_Pla_pb2333	10x-9_Am_Pla_pb2333_v3.5	10x	10x_PB2333	PB2333_10x	Am	Pla	16.5056	200.2015	35.77	42.7055	195	1060	946	High	42.32338724	2.077412294	1197.424333	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-9_Am_Pla_pb2333_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
pb3403	PB3403	10x-10_Am_Pla_pb3403	10x-10_Am_Pla_pb3403_v3.5	10x	10x_PB3403	PB3403_10x	Am	Pla	21.7329	156.5593	35.52	42.9267	196	1069	955	High	42.32351987	2.077625188	1168.738667	core	/nfs/scistore18/bartogrp/apal/snap_hap/bams/v3.5/bams_merged_2023/10x-10_Am_Pla_pb3403_v3.5.sorted.BXnum.merged.bam	H	2x_Trimble_Records
