ID			Plate	row	column	coord				10 coverage							
pb0001	N702	D01	1	A	1	A1	1A1				2xcov	8x cov						
pb0002	N702	D02	1	B	1	B1	1B1			_pb0174	N701	N711	D74					
pb0003	N702	D03	1	C	1	C1	1C1			_pb0216	N703	N711	D18					
pb0004	N702	D04	1	D	1	D1	1D1			_pb0294	N703	N711	D95					
pb0005	N702	D05	1	E	1	E1	1E1			_pb0349	N704	N711	D50					
pb0006	N702	D06	1	F	1	F1	1F1			_pb0403	N705	N711	D01					
pb0007	N702	D07	1	G	1	G1	1G1			_pb0458	N705	N711	D41					
pb0008	N702	D08	1	H	1	H1	1H1											
pb0009	N702	D09	1	A	2	A2	1A2			_pb0407	N705	N712	D03					
pb0010	N702	D10	1	B	2	B2	1B2			_pb0768	N705	N712	D91					
pb0011	N702	D11	1	C	2	C2	1C2			_pb2333	N706	N712	D53					
pb0012	N702	D12	1	D	2	D2	1D2			_pb3403	N707	N712	D18					
pb0013	N702	D13	1	E	2	E2	1E2			_pb4318	N707	N712	D86					
pb0014	N702	D14	1	F	2	F2	1F2			_pb4563	N707	N712	D95					
pb0015	N702	D15	1	G	2	G2	1G2											
pb0016	N702	D16	1	H	2	H2	1H2			_pb1196	N709	N713	D82					
pb0017	N702	D17	1	A	3	A3	1A3			_pb1008	N709	N713	D67					
pb0018	N702	D18	1	B	3	B3	1B3			_pb1253	N709	N713	D40					
pb0019	N702	D19	1	C	3	C3	1C3			_pb1682	N710	N713	D42					
pb0020	N702	D20	1	D	3	D3	1D3			_pb2190	N710	N713	D19					
pb0021	N702	D21	1	E	3	E3	1E3			_pb1687	N710	N713	D68					
pb0022	N702	D22	1	F	3	F3	1F3											
pb0023	N702	D23	1	G	3	G3	1G3											
pb0024	N702	D24	1	H	3	H3	1H3											
pb0025	N702	D25	1	A	4	A4	1A4			62xcoverage ==	2xcov		60 coverage				
pb0026	N702	D26	1	B	4	B4	1B4			__pb0464	N705	D47	N712	D41	D42	D43	D44
pb0027	N702	D27	1	C	4	C4	1C4			__pb1042	N709	D34	N712	D35	D36	D37	D38
pb0028	N702	D28	1	D	4	D4	1D4			__pb0898	N710	D13	N712	D73	D74	D75	D76
pb0029	N702	D29	1	E	4	E4	1E4											
pb0030	N702	D30	1	F	4	F4	1F4											
pb0031	N702	D31	1	G	4	G4	1G4											
pb0032	N702	D32	1	H	4	H4	1H4											
pb0033	N702	D33	1	A	5	A5	1A5											
pb0034	N702	D34	1	B	5	B5	1B5											
pb0035	N702	D35	1	C	5	C5	1C5											
pb0036	N702	D36	1	D	5	D5	1D5											
pb0037	N702	D37	1	E	5	E5	1E5											
pb0038	N702	D38	1	F	5	F5	1F5											
pb0039	N702	D39	1	G	5	G5	1G5											
pb0040	N702	D40	1	H	5	H5	1H5											
pb0041	N702	D41	1	A	6	A6	1A6											
pb0042	N702	D42	1	B	6	B6	1B6											
pb0043	N702	D43	1	C	6	C6	1C6											
pb0044	N702	D44	1	D	6	D6	1D6											
pb0045	N702	D45	1	E	6	E6	1E6											
pb0046	N702	D46	1	F	6	F6	1F6											
pb0047	N702	D47	1	G	6	G6	1G6											
pb0048	N702	D48	1	H	6	H6	1H6											
pb0049	N702	D49	1	A	7	A7	1A7											
pb0051	N702	D50	1	B	7	B7	1B7											
pb0052	N702	D51	1	C	7	C7	1C7											
pb0053	N702	D52	1	D	7	D7	1D7											
pb0054	N702	D53	1	E	7	E7	1E7											
pb0055	N702	D54	1	F	7	F7	1F7											
pb0056	N702	D55	1	G	7	G7	1G7											
pb0057	N702	D56	1	H	7	H7	1H7											
pb0058	N702	D57	1	A	8	A8	1A8											
pb0060	N702	D58	1	B	8	B8	1B8											
pb0061	N702	D59	1	C	8	C8	1C8											
pb0062	N702	D60	1	D	8	D8	1D8											
pb0063	N702	D61	1	E	8	E8	1E8											
pb0064	N702	D62	1	F	8	F8	1F8											
pb0065	N702	D63	1	G	8	G8	1G8											
pb0066	N702	D64	1	H	8	H8	1H8											
pb0067	N702	D65	1	A	9	A9	1A9											
pb0068	N702	D66	1	B	9	B9	1B9											
pb0069	N702	D67	1	C	9	C9	1C9											
pb0070	N702	D68	1	D	9	D9	1D9											
pb0071	N702	D69	1	E	9	E9	1E9											
pb0072	N702	D70	1	F	9	F9	1F9											
pb0073	N702	D71	1	G	9	G9	1G9											
pb0074	N702	D72	1	H	9	H9	1H9											
pb0075	N702	D73	1	A	10	A10	1A10											
pb0076	N702	D74	1	B	10	B10	1B10											
pb0077	N702	D75	1	C	10	C10	1C10											
pb0078	N702	D76	1	D	10	D10	1D10											
pb0079	N702	D77	1	E	10	E10	1E10											
pb0080	N702	D78	1	F	10	F10	1F10											
pb0081	N702	D79	1	G	10	G10	1G10											
pb0082	N702	D80	1	H	10	H10	1H10											
pb0083	N702	D81	1	A	11	A11	1A11											
pb0084	N702	D82	1	B	11	B11	1B11											
pb0085	N702	D83	1	C	11	C11	1C11											
pb0086	N702	D84	1	D	11	D11	1D11											
pb0087	N702	D85	1	E	11	E11	1E11											
pb0088	N702	D86	1	F	11	F11	1F11											
pb0089	N702	D87	1	G	11	G11	1G11											
pb0090	N702	D88	1	H	11	H11	1H11											
pb0091	N702	D89	1	A	12	A12	1A12											
pb0092	N702	D90	1	B	12	B12	1B12											
pb0093	N702	D91	1	C	12	C12	1C12											
pb0094	N702	D92	1	D	12	D12	1D12											
pb0095	N702	D93	1	E	12	E12	1E12											
pb0096	N702	D94	1	F	12	F12	1F12											
pb0097	N702	D95	1	G	12	G12	1G12											
pb0098	N702	D96	1	H	12	H12	1H12											
pb0099	N701	D01	2	A	1	A1	2A1											
pb0100	N701	D02	2	B	1	B1	2B1											
pb0101	N701	D03	2	C	1	C1	2C1											
pb0102	N701	D04	2	D	1	D1	2D1											
pb0103	N701	D05	2	E	1	E1	2E1											
pb0104	N701	D06	2	F	1	F1	2F1											
pb0105	N701	D07	2	G	1	G1	2G1											
pb0106	N701	D08	2	H	1	H1	2H1											
pb0107	N701	D09	2	A	2	A2	2A2											
pb0108	N701	D10	2	B	2	B2	2B2											
pb0109	N701	D11	2	C	2	C2	2C2											
pb0110	N701	D12	2	D	2	D2	2D2											
pb0111	N701	D13	2	E	2	E2	2E2											
pb0112	N701	D14	2	F	2	F2	2F2											
pb0113	N701	D15	2	G	2	G2	2G2											
pb0114	N701	D16	2	H	2	H2	2H2											
pb0115	N701	D17	2	A	3	A3	2A3											
pb0116	N701	D18	2	B	3	B3	2B3											
pb0117	N701	D19	2	C	3	C3	2C3											
pb0118	N701	D20	2	D	3	D3	2D3											
pb0119	N701	D21	2	E	3	E3	2E3											
pb0120	N701	D22	2	F	3	F3	2F3											
pb0121	N701	D23	2	G	3	G3	2G3											
pb0122	N701	D24	2	H	3	H3	2H3											
pb0123	N701	D25	2	A	4	A4	2A4											
pb0124	N701	D26	2	B	4	B4	2B4											
pb0125	N701	D27	2	C	4	C4	2C4											
pb0126	N701	D28	2	D	4	D4	2D4											
pb0127	N701	D29	2	E	4	E4	2E4											
pb0128	N701	D30	2	F	4	F4	2F4											
pb0129	N701	D31	2	G	4	G4	2G4											
pb0130	N701	D32	2	H	4	H4	2H4											
pb0131	N701	D33	2	A	5	A5	2A5											
pb0132	N701	D34	2	B	5	B5	2B5											
pb0133	N701	D35	2	C	5	C5	2C5											
pb0134	N701	D36	2	D	5	D5	2D5											
pb0135	N701	D37	2	E	5	E5	2E5											
pb0136	N701	D38	2	F	5	F5	2F5											
pb0137	N701	D39	2	G	5	G5	2G5											
pb0138	N701	D40	2	H	5	H5	2H5											
pb0139	N701	D41	2	A	6	A6	2A6											
pb0140	N701	D42	2	B	6	B6	2B6											
pb0141	N701	D43	2	C	6	C6	2C6											
pb0143	N701	D44	2	D	6	D6	2D6											
pb0144	N701	D45	2	E	6	E6	2E6											
pb0145	N701	D46	2	F	6	F6	2F6											
pb0146	N701	D47	2	G	6	G6	2G6											
pb0147	N701	D48	2	H	6	H6	2H6											
pb0148	N701	D49	2	A	7	A7	2A7											
pb0149	N701	D50	2	B	7	B7	2B7											
pb0150	N701	D51	2	C	7	C7	2C7											
pb0151	N701	D52	2	D	7	D7	2D7											
pb0152	N701	D53	2	E	7	E7	2E7											
pb0153	N701	D54	2	F	7	F7	2F7											
pb0154	N701	D55	2	G	7	G7	2G7											
pb0155	N701	D56	2	H	7	H7	2H7											
pb0156	N701	D57	2	A	8	A8	2A8											
pb0157	N701	D58	2	B	8	B8	2B8											
pb0158	N701	D59	2	C	8	C8	2C8											
pb0159	N701	D60	2	D	8	D8	2D8											
pb0160	N701	D61	2	E	8	E8	2E8											
pb0161	N701	D62	2	F	8	F8	2F8											
pb0162	N701	D63	2	G	8	G8	2G8											
pb0163	N701	D64	2	H	8	H8	2H8											
pb0164	N701	D65	2	A	9	A9	2A9											
pb0165	N701	D66	2	B	9	B9	2B9											
pb0166	N701	D67	2	C	9	C9	2C9											
pb0168	N701	D68	2	D	9	D9	2D9											
pb0169	N701	D69	2	E	9	E9	2E9											
pb0170	N701	D70	2	F	9	F9	2F9											
pb0171	N701	D71	2	G	9	G9	2G9											
pb0172	N701	D72	2	H	9	H9	2H9											
pb0173	N701	D73	2	A	10	A10	2A10											
pb0175	N701	D75	2	C	10	C10	2C10											
pb0176	N701	D76	2	D	10	D10	2D10											
pb0177	N701	D77	2	E	10	E10	2E10											
pb0178	N701	D78	2	F	10	F10	2F10											
pb0179	N701	D79	2	G	10	G10	2G10											
pb0180	N701	D80	2	H	10	H10	2H10											
pb0181	N701	D81	2	A	11	A11	2A11											
pb0182	N701	D82	2	B	11	B11	2B11											
pb0183	N701	D83	2	C	11	C11	2C11											
pb0184	N701	D84	2	D	11	D11	2D11											
pb0185	N701	D85	2	E	11	E11	2E11											
pb0186	N701	D86	2	F	11	F11	2F11											
pb0187	N701	D87	2	G	11	G11	2G11											
pb0188	N701	D88	2	H	11	H11	2H11											
pb0189	N701	D89	2	A	12	A12	2A12											
pb0190	N701	D90	2	B	12	B12	2B12											
pb0191	N701	D91	2	C	12	C12	2C12											
pb0192	N701	D92	2	D	12	D12	2D12											
pb0193	N701	D93	2	E	12	E12	2E12											
pb0194	N701	D94	2	F	12	F12	2F12											
pb0195	N701	D95	2	G	12	G12	2G12											
pb0196	N701	D96	2	H	12	H12	2H12											
pb0197	N703	D01	3	A	1	A1	3A1											
pb0198	N703	D02	3	B	1	B1	3B1											
pb0199	N703	D03	3	C	1	C1	3C1											
pb0200	N703	D04	3	D	1	D1	3D1											
pb0201	N703	D05	3	E	1	E1	3E1											
pb0202	N703	D06	3	F	1	F1	3F1											
pb0203	N703	D07	3	G	1	G1	3G1											
pb0204	N703	D08	3	H	1	H1	3H1											
pb0205	N703	D09	3	A	2	A2	3A2											
pb0206	N703	D10	3	B	2	B2	3B2											
pb0207	N703	D11	3	C	2	C2	3C2											
pb0209	N703	D12	3	D	2	D2	3D2											
pb0210	N703	D13	3	E	2	E2	3E2											
pb0211	N703	D14	3	F	2	F2	3F2											
pb0213	N703	D15	3	G	2	G2	3G2											
pb0214	N703	D16	3	H	2	H2	3H2											
pb0215	N703	D17	3	A	3	A3	3A3											
pb0217	N703	D19	3	C	3	C3	3C3											
pb0218	N703	D20	3	D	3	D3	3D3											
pb0219	N703	D21	3	E	3	E3	3E3											
pb0220	N703	D22	3	F	3	F3	3F3											
pb0221	N703	D23	3	G	3	G3	3G3											
pb0222	N703	D24	3	H	3	H3	3H3											
pb0223	N703	D25	3	A	4	A4	3A4											
pb0224	N703	D26	3	B	4	B4	3B4											
pb0225	N703	D27	3	C	4	C4	3C4											
pb0226	N703	D28	3	D	4	D4	3D4											
pb0227	N703	D29	3	E	4	E4	3E4											
