ID,barcode,Location,species,pheno/geno
D357-4,C80,Des,Amolle,NaN
D368-2,C83,Des,Asempervirens,NaN
E373-3,C79,Des,Alatifgolium,NaN
M109-5,C84,Des,Asiculum ,NaN
P168-1,C82,Des,Morontium,NaN
P171-2,C81,Des,Lsalzmannii,NaN
x3318,C22,Ave,Amajus,FR
x3327,C23,Ave,Amajus,FR
x3333,C24,Ave,Amajus,FR
x3394,C21,Ave,Amajus,FR
x4101,C20,Ave,Amajus,FR
x4102,C19,Ave,Amajus,FR
x4116,C18,Ave,Amajus,FR
x4128,C31,Ave,Amajus,Ye
x4129,C30,Ave,Amajus,Ye
x4134,C29,Ave,Amajus,Ye
x4137,C28,Ave,Amajus,Ye
x4140,C27,Ave,Amajus,Ye
x4148,C26,Ave,Amajus,Ye
x4149,C25,Ave,Amajus,Ye
x4150,C16,Ave,Amajus,Ye
x4153,C15,Ave,Amajus,Ye
x4155,C14,Ave,Amajus,Ye
x4158,C13,Ave,Amajus,Ye
x4159,C12,Ave,Amajus,Ye
x4161,C17,Ave,Amajus,FR
x4178,C08,Ave,Amajus,FR
x4248,C76,Cadi,Amolle,NaN
x4251,C75,Cadi,Amolle,NaN
x4258,C77,Cadi,Amolle,NaN
x4260,C78,Cadi,Amolle,NaN
x4359,C07,Ave,Amajus,FR
x4392,C85,Ave,Amajus,Ye
x4429,C06,Ave,Amajus,FR
x4459,C05,Ave,Amajus,FR
x4463,C11,Ave,Amajus,Ye
x4477,C10,Ave,Amajus,Ye
x4491,C09,Ave,Amajus,Ye
x4570,C32,Ave,Amajus,Ye
x4579,C86,Ave,Amajus,Ye
x4580,C87,Ave,Amajus,Ye
x4585,C04,Ave,Amajus,FR
x4593,C03,Ave,Amajus,FR
x4608,C02,Ave,Amajus,FR
x4624,C01,Ave,Amajus,FR
x4786,C88,Ave,Amajus,FR
x4837,C89,Ave,Amajus,FR
x4867,C90,Ave,Amajus,FR
z0035,C69,Pla,Amajus,H
z0047,C72,Pla,Amajus,H
z0050,C73,Pla,Amajus,H
z0147,C70,Pla,Amajus,H
z0156,C71,Pla,Amajus,H
z0169,C37,Pla,Amajus,Ye
z0204,C94,Pla,Amajus,H
z0347,C38,Pla,Amajus,Ye
z0550,C91,Pla,Amajus,H
z0704,C62,Pla,Amajus,FR
z0713,C61,Pla,Amajus,FR
z0837,C92,Pla,Amajus,H
z0847,C42,Pla,Amajus,Ye
z0852,C41,Pla,Amajus,Ye
z0854,C40,Pla,Amajus,Ye
z1403,C96,Pla,Amajus,H
z1441,C74,Pla,Amajus,H
z1778,C49,Pla,Amajus,FR
z1802,C39,Pla,Amajus,Ye
z2008,C43,Pla,Amajus,Ye
z2018,C45,Pla,Amajus,Ye
z2020,C44,Pla,Amajus,Ye
z2046,C50,Pla,Amajus,FR
z2281,C55,Pla,Amajus,FR
z2283,C56,Pla,Amajus,FR
z2286,C66,Pla,Amajus,FR
z2287,C57,Pla,Amajus,FR
z2290,C51,Pla,Amajus,FR
z2292,C60,Pla,Amajus,FR
z2293,C54,Pla,Amajus,FR
z2294,C65,Pla,Amajus,FR
z2295,C52,Pla,Amajus,FR
z2296,C58,Pla,Amajus,FR
z2298,C53,Pla,Amajus,FR
z2300,C59,Pla,Amajus,FR
z2706,C68,Pla,Amajus,Ye
z2711,C36,Pla,Amajus,Ye
z3021,C95,Pla,Amajus,H
z3257,C93,Pla,Amajus,H
z3891,C35,Pla,Amajus,Ye
z4710,C63,Pla,Amajus,FR
z4712,C64,Pla,Amajus,FR
z4758,C33,Pla,Amajus,Ye
z4783,C34,Pla,Amajus,Ye
z4793,C47,Pla,Amajus,Ye
z4797,C46,Pla,Amajus,Ye
z5444,C48,Pla,Amajus,Ye
z5451,C67,Pla,Amajus,Ye
