Chr1 1 1000000 	38557 sites 	97.094 sec elapsed
Chr1 1000001 2000000 	52078 sites 	204.73 sec elapsed
Chr1 2000001 3000000 	59412 sites 	332.171 sec elapsed
Chr1 3000001 4000000 	55983 sites 	292.357 sec elapsed
Chr1 4000001 5000000 	50713 sites 	228.311 sec elapsed
Chr1 5000001 6000000 	39654 sites 	152.711 sec elapsed
Chr1 6000001 7000000 	35610 sites 	126.222 sec elapsed
Chr1 7000001 8000000 	46223 sites 	187.569 sec elapsed
Chr1 8000001 9000000 	37867 sites 	137.051 sec elapsed
Chr1 9000001 10000000 	47241 sites 	192.703 sec elapsed
Chr1 10000001 11000000 	35773 sites 	115.391 sec elapsed
Chr1 11000001 12000000 	41456 sites 	157.313 sec elapsed
Chr1 12000001 13000000 	40080 sites 	142.688 sec elapsed
Chr1 13000001 14000000 	46867 sites 	184.304 sec elapsed
Chr1 14000001 15000000 	36163 sites 	119.808 sec elapsed
Chr1 15000001 16000000 	34500 sites 	109.917 sec elapsed
Chr1 16000001 17000000 	49681 sites 	208.209 sec elapsed
Chr1 17000001 18000000 	37691 sites 	130.748 sec elapsed
Chr1 18000001 19000000 	45648 sites 	178.649 sec elapsed
Chr1 19000001 20000000 	38846 sites 	135.399 sec elapsed
Chr1 20000001 21000000 	39833 sites 	142.293 sec elapsed
Chr1 21000001 22000000 	37968 sites 	126.55 sec elapsed
Chr1 22000001 23000000 	45757 sites 	176.818 sec elapsed
Chr1 23000001 24000000 	39777 sites 	141.427 sec elapsed
Chr1 24000001 25000000 	42559 sites 	149.671 sec elapsed
Chr1 25000001 26000000 	39863 sites 	135.235 sec elapsed
Chr1 26000001 27000000 	27784 sites 	79.884 sec elapsed
Chr1 27000001 28000000 	34689 sites 	118.454 sec elapsed
Chr1 28000001 29000000 	40453 sites 	144.721 sec elapsed
Chr1 29000001 30000000 	36931 sites 	126.741 sec elapsed
Chr1 30000001 31000000 	40624 sites 	141.753 sec elapsed
Chr1 31000001 32000000 	32446 sites 	97.335 sec elapsed
Chr1 32000001 33000000 	32778 sites 	103.715 sec elapsed
Chr1 33000001 34000000 	31903 sites 	99.275 sec elapsed
Chr1 34000001 35000000 	33448 sites 	107.416 sec elapsed
Chr1 35000001 36000000 	30792 sites 	91.688 sec elapsed
Chr1 36000001 37000000 	22505 sites 	58.612 sec elapsed
Chr1 37000001 38000000 	27451 sites 	85.908 sec elapsed
Chr1 38000001 39000000 	29631 sites 	94.836 sec elapsed
Chr1 39000001 40000000 	26986 sites 	82.588 sec elapsed
Chr1 40000001 41000000 	26676 sites 	79.987 sec elapsed
Chr1 41000001 42000000 	31295 sites 	95.696 sec elapsed
Chr1 42000001 43000000 	24683 sites 	69.362 sec elapsed
Chr1 43000001 44000000 	34652 sites 	108.909 sec elapsed
Chr1 44000001 45000000 	47257 sites 	192.702 sec elapsed
Chr1 45000001 46000000 	37705 sites 	134.357 sec elapsed
Chr1 46000001 47000000 	25111 sites 	75.576 sec elapsed
Chr1 47000001 48000000 	38256 sites 	144.947 sec elapsed
Chr1 48000001 49000000 	32891 sites 	113.14 sec elapsed
Chr1 49000001 50000000 	31223 sites 	94.299 sec elapsed
Chr1 50000001 51000000 	32795 sites 	107.553 sec elapsed
Chr1 51000001 52000000 	49411 sites 	219.845 sec elapsed
Chr1 52000001 53000000 	48607 sites 	220.55 sec elapsed
Chr1 53000001 54000000 	51910 sites 	239.743 sec elapsed
Chr1 54000001 55000000 	55646 sites 	264.136 sec elapsed
Chr1 55000001 56000000 	47878 sites 	207.938 sec elapsed
Chr1 56000001 57000000 	55006 sites 	254.293 sec elapsed
Chr1 57000001 58000000 	54183 sites 	251.429 sec elapsed
Chr1 58000001 59000000 	60551 sites 	314.03 sec elapsed
Chr1 59000001 60000000 	56709 sites 	273.091 sec elapsed
Chr1 60000001 61000000 	51288 sites 	159.622 sec elapsed
Chr1 61000001 62000000 	44983 sites 	97.189 sec elapsed
Chr1 62000001 63000000 	46523 sites 	111.692 sec elapsed
Chr1 63000001 64000000 	50856 sites 	120.595 sec elapsed
Chr1 64000001 65000000 	48021 sites 	102.935 sec elapsed
Chr1 65000001 66000000 	55591 sites 	132.974 sec elapsed
Chr1 66000001 67000000 	39151 sites 	70.38 sec elapsed
Chr1 67000001 68000000 	41727 sites 	79.646 sec elapsed
Chr1 68000001 69000000 	41471 sites 	73.987 sec elapsed
Chr1 69000001 70000000 	36564 sites 	64.361 sec elapsed
Chr1 70000001 71000000 	46552 sites 	93.132 sec elapsed
Chr1 71000001 71919034 	31308 sites 	49.93 sec elapsed

real	173m19.164s
user	129m57.271s
sys	5m51.647s
