Chr3 1 1000000 	52446 sites 	151.238 sec elapsed
Chr3 1000001 2000000 	60473 sites 	241.064 sec elapsed
Chr3 2000001 3000000 	55507 sites 	281.229 sec elapsed
Chr3 3000001 4000000 	43913 sites 	185.012 sec elapsed
Chr3 4000001 5000000 	47839 sites 	207.1 sec elapsed
Chr3 5000001 6000000 	37691 sites 	129.563 sec elapsed
Chr3 6000001 7000000 	47586 sites 	202.067 sec elapsed
Chr3 7000001 8000000 	46488 sites 	195.165 sec elapsed
Chr3 8000001 9000000 	43892 sites 	171.822 sec elapsed
Chr3 9000001 10000000 	39532 sites 	147.806 sec elapsed
Chr3 10000001 11000000 	48271 sites 	190.567 sec elapsed
Chr3 11000001 12000000 	32031 sites 	96.431 sec elapsed
Chr3 12000001 13000000 	39358 sites 	142.529 sec elapsed
Chr3 13000001 14000000 	41080 sites 	150.384 sec elapsed
Chr3 14000001 15000000 	33576 sites 	103.912 sec elapsed
Chr3 15000001 16000000 	40272 sites 	146.692 sec elapsed
Chr3 16000001 17000000 	31694 sites 	97.057 sec elapsed
Chr3 17000001 18000000 	39242 sites 	130.577 sec elapsed
Chr3 18000001 19000000 	37854 sites 	124.924 sec elapsed
Chr3 19000001 20000000 	33582 sites 	110.155 sec elapsed
Chr3 20000001 21000000 	4398 sites 	11.387 sec elapsed
Chr3 21000001 22000000 	14319 sites 	31.905 sec elapsed
Chr3 22000001 23000000 	39206 sites 	136.091 sec elapsed
Chr3 23000001 24000000 	32222 sites 	101.894 sec elapsed
Chr3 24000001 25000000 	37356 sites 	125.749 sec elapsed
Chr3 25000001 26000000 	34541 sites 	119.292 sec elapsed
Chr3 26000001 27000000 	36568 sites 	124.494 sec elapsed
Chr3 27000001 28000000 	37209 sites 	130.233 sec elapsed
Chr3 28000001 29000000 	34311 sites 	108.144 sec elapsed
Chr3 29000001 30000000 	34527 sites 	109.919 sec elapsed
Chr3 30000001 31000000 	34969 sites 	114.283 sec elapsed
Chr3 31000001 32000000 	37385 sites 	129.876 sec elapsed
Chr3 32000001 33000000 	22564 sites 	56.28 sec elapsed
Chr3 33000001 34000000 	32257 sites 	103.443 sec elapsed
Chr3 34000001 35000000 	30698 sites 	91.751 sec elapsed
Chr3 35000001 36000000 	40243 sites 	137.656 sec elapsed
Chr3 36000001 37000000 	35735 sites 	115.417 sec elapsed
Chr3 37000001 38000000 	32635 sites 	99.975 sec elapsed
Chr3 38000001 39000000 	33196 sites 	103.21 sec elapsed
Chr3 39000001 40000000 	36704 sites 	126.742 sec elapsed
Chr3 40000001 41000000 	35144 sites 	111.813 sec elapsed
Chr3 41000001 42000000 	23570 sites 	63.979 sec elapsed
Chr3 42000001 43000000 	25680 sites 	67.086 sec elapsed
Chr3 43000001 44000000 	35531 sites 	120.813 sec elapsed
Chr3 44000001 45000000 	33334 sites 	102.619 sec elapsed
Chr3 45000001 46000000 	35077 sites 	116.103 sec elapsed
Chr3 46000001 47000000 	34638 sites 	112.255 sec elapsed
Chr3 47000001 48000000 	39479 sites 	144.305 sec elapsed
Chr3 48000001 49000000 	27753 sites 	79.607 sec elapsed
Chr3 49000001 50000000 	42920 sites 	163.167 sec elapsed
Chr3 50000001 51000000 	48317 sites 	200.512 sec elapsed
Chr3 51000001 52000000 	33984 sites 	108.926 sec elapsed
Chr3 52000001 53000000 	29905 sites 	90.98 sec elapsed
Chr3 53000001 54000000 	34050 sites 	106.6 sec elapsed
Chr3 54000001 55000000 	41766 sites 	156.057 sec elapsed
Chr3 55000001 56000000 	45514 sites 	183.208 sec elapsed
Chr3 56000001 57000000 	39486 sites 	136.692 sec elapsed
Chr3 57000001 58000000 	51916 sites 	224.598 sec elapsed
Chr3 58000001 59000000 	54305 sites 	237.494 sec elapsed
Chr3 59000001 60000000 	50901 sites 	223.049 sec elapsed
Chr3 60000001 61000000 	52522 sites 	241.124 sec elapsed
Chr3 61000001 62000000 	62426 sites 	337.743 sec elapsed
Chr3 62000001 63000000 	71649 sites 	431.336 sec elapsed
Chr3 63000001 64000000 	79312 sites 	435.451 sec elapsed
Chr3 64000001 65000000 	72559 sites 	244.448 sec elapsed
Chr3 65000001 65231163 	4910 sites 	7.851 sec elapsed

real	162m51.188s
user	120m16.798s
sys	4m53.557s
